iter	Passed	Remaining
0	41	41098
1	77	38877
2	101	33810
3	126	31562
4	149	29834
5	174	28834
6	198	28118
7	223	27729
8	247	27202
9	270	26790
10	291	26227
11	311	25668
12	331	25144
13	349	24627
14	369	24244
15	388	23902
16	408	23592
17	427	23332
18	447	23111
19	465	22829
20	483	22530
21	502	22355
22	522	22177
23	542	22068
24	562	21919
25	582	21814
26	601	21662
27	619	21513
28	639	21416
29	660	21344
30	680	21267
31	699	21155
32	718	21058
33	739	21013
34	758	20923
35	777	20826
36	796	20727
37	815	20656
38	835	20582
39	854	20498
40	872	20409
41	892	20348
42	920	20487
43	939	20421
44	958	20335
45	976	20261
46	995	20180
47	1013	20105
48	1032	20038
49	1051	19970
50	1073	19974
51	1093	19936
52	1115	19931
53	1135	19885
54	1152	19808
55	1172	19762
56	1191	19710
57	1209	19642
58	1227	19583
59	1244	19504
60	1263	19446
61	1282	19400
62	1300	19343
63	1319	19290
64	1337	19235
65	1355	19181
66	1373	19129
67	1392	19079
68	1410	19024
69	1429	18991
70	1448	18950
71	1466	18897
72	1484	18856
73	1504	18822
74	1523	18789
75	1542	18753
76	1560	18708
77	1580	18684
78	1599	18647
79	1617	18605
80	1636	18566
81	1655	18530
82	1674	18495
83	1694	18472
84	1711	18426
85	1729	18382
86	1748	18345
87	1767	18312
88	1786	18284
89	1804	18248
90	1822	18203
91	1840	18160
92	1857	18117
93	1875	18074
94	1894	18045
95	1918	18065
96	1944	18100
97	1963	18074
98	1982	18038
99	2000	18003
100	2018	17966
101	2036	17933
102	2055	17899
103	2073	17868
104	2092	17832
105	2109	17794
106	2128	17764
107	2147	17733
108	2165	17702
109	2184	17673
110	2206	17670
111	2225	17644
112	2244	17618
113	2263	17592
114	2283	17569
115	2302	17544
116	2321	17519
117	2339	17489
118	2358	17459
119	2375	17421
120	2393	17388
121	2411	17356
122	2430	17327
123	2449	17306
124	2468	17276
125	2485	17242
126	2504	17215
127	2523	17188
128	2541	17160
129	2560	17133
130	2577	17101
131	2595	17070
132	2614	17046
133	2633	17019
134	2651	16988
135	2670	16964
136	2688	16932
137	2706	16907
138	2724	16876
139	2742	16845
140	2762	16826
141	2782	16812
142	2803	16799
143	2821	16774
144	2841	16756
145	2860	16732
146	2880	16712
147	2898	16685
148	2917	16662
149	2939	16659
150	2966	16676
151	2983	16647
152	3001	16616
153	3019	16588
154	3038	16565
155	3056	16538
156	3076	16519
157	3095	16494
158	3114	16475
159	3134	16454
160	3151	16423
161	3170	16397
162	3188	16373
163	3206	16343
164	3224	16317
165	3242	16291
166	3261	16269
167	3281	16252
168	3339	16418
169	3402	16612
170	3443	16691
171	3464	16679
